cÓdigo_da_entidade,nome_da_entidade,sigla_da_uf,municÍpio,dependÊncia_administrativa,localizaÇÃo,nÚmero_de_alunos_no_censo,porte_da_escola,nÚmero_de_participantes_no_enem,taxa_de_particpaÇÃo,nÚmero_de_participantes_com_necessidades_especiais,indicador_de_permanencia_na_escola,indicador_nÍvel_socioeconÔmico,faixa_indicador_de_formaÇÃo_docente,indicador_de_formaÇÃo_docente,taxa_de_aprovaÇÃo,taxa_de_reprovaÇÃo,taxa_de_abandono,mÉdia_dos_30_melhores_alunos_da_escola_lc,mÉdia_lc,percentual_alunos_nÍvel_1_lc,percentual_alunos_nÍvel_2_lc,percentual_alunos_nÍvel_3_lc,percentual_alunos_nÍvel_4_lc,percentual_alunos_nÍvel_5_lc,mÉdia_dos_30_melhores_alunos_da_escola_redacÂo,mÉdia_redaÇÂo,percentual_alunos_nÍvel_1_redaÇÃo,percentual_alunos_nÍvel_2_redaÇÃo,percentual_alunos_nÍvel_3_redaÇÃo,percentual_alunos_nÍvel_4_redaÇÃo,percentual_alunos_nÍvel_5_redaÇÃo,mÉdia_dos_30_melhores_alunos_da_escola_mat,mÉdia_mat,percentual_alunos_nÍvel_1_mat,percentual_alunos_nÍvel_2_mat,percentual_alunos_nÍvel_3_mat,percentual_alunos_nÍvel_4_mat,percentual_alunos_nÍvel_5_mat,mÉdia_dos_30_melhores_alunos_da_escola_ch,mÉdia_ch,percentual_alunos_nÍvel_1_ch,percentual_alunos_nÍvel_2_ch,percentual_alunos_nÍvel_3_ch,percentual_alunos_nÍvel_4_ch,percentual_alunos_nÍvel_5_ch,mÉdia_dos_30_melhores_alunos_da_escola_cn,mÉdia_cn,percentual_alunos_nÍvel_1_cn,percentual_alunos_nÍvel_2_cn,percentual_alunos_nÍvel_3_cn,percentual_alunos_nÍvel_4_cn,percentual_alunos_nÍvel_5_cn,codigo_entidade,lat,long
42067812,EEB PROFº FRANCISCO BRASINHA DIAS,SC,BELMONTE,Estadual,Urbana,30,De 1 a 30 alunos,20,"66,67",0,80% ou mais,Médio,Maior que 50%,"73,6","94,2","4,8",1,,"482,74",30,55,15,0,0,,424,65,30,5,0,0,,"479,25",35,50,10,5,0,,"517,06",10,60,30,0,0,,"478,37",30,60,10,0,0,42067812,-26.843613, -53.576103
42150019,IFSC - CAMPUS CHAPECO,SC,CHAPECO,Federal,Urbana,11,De 1 a 30 alunos,11,100,0,Menos de 20%,Alto,Maior que 50%,95,"87,8","7,6","4,6",,"580,88",0,"9,09","90,91",0,0,,"705,45",0,"27,27","9,09","45,45","18,18",,"638,27","9,09","18,18","36,36","18,18","18,18",,"641,31",0,0,"72,73","27,27",0,,"580,16",0,"45,45","36,36","18,18",0,42150019,-27.07400,-52.620609
42044553,EEB JOSE ZANCHETTI,SC,ABDON BATISTA,Estadual,Urbana,26,De 1 a 30 alunos,20,"76,92",0,80% ou mais,Médio Alto,Até 50%,50,"88,2","5,5","6,3",,"509,79",20,55,25,0,0,,486,45,15,20,20,0,,"482,35",30,55,15,0,0,,"558,26",10,20,65,5,0,,"473,76",40,45,15,0,0,42044553,-27.613160, -51.023763
42145511,EEM SEMENTE DA CONQUISTA,SC,ABELARDO LUZ,Estadual,Rural,21,De 1 a 30 alunos,12,"57,14",0,80% ou mais,Médio Baixo,Maior que 50%,"69,4","68,2","25,6","6,2",,"485,06","16,67",75,"8,33",0,0,,490,"58,33","8,33","16,67","8,33","8,33",,"441,49","58,33","33,33","8,33",0,0,,515,25,"41,67","33,33",0,0,,"448,08","66,67","16,67","16,67",0,0,42145511,-26.566278, -52.327803
42086728,EEB PROFº ANACLETO DAMIANI,SC,ABELARDO LUZ,Estadual,Urbana,120,Mais que 90 alunos,66,55,0,De 60% a 80%,Médio Alto,Maior que 50%,"74,1","67,9","16,6","15,5","544,8","494,83","22,73","57,58","19,7",0,0,"613,53","503,64","48,48","22,73","18,18","9,09","1,52","489,03","425,98","69,7","22,73","7,58",0,0,"570,82","516,9","18,18","39,39","42,42",0,0,"519,51","468,63","37,88","53,03","9,09",0,0,42086728,-26.56375,-52.328201
42023718,EEB PEDRO AMERICO,SC,AGROLANDIA,Estadual,Urbana,85,De 61 a 90 alunos,44,"51,76",0,80% ou mais,Alto,Até 50%,"44,4",76,"23,1","0,9","531,32","505,38","13,64","65,91","20,45",0,0,"536,67","435,45","54,55","22,73","18,18","4,55",0,"484,47","448,3","45,45","38,64","15,91",0,0,"568,4","536,4","9,09","40,91",50,0,0,"504,54","477,18","27,27","65,91","6,82",0,0,42023718,-27.41222,-49.827443
42023726,EEB SAO JOAO,SC,AGROLANDIA,Estadual,Urbana,19,De 1 a 30 alunos,10,"52,63",1,80% ou mais,Alto,Até 50%,"46,4","69,3","28,9","1,8",,"482,09",40,40,20,0,0,,388,60,10,30,0,0,,"471,47",50,30,10,10,0,,"519,34",20,40,30,10,0,,"492,6",30,50,20,0,0,42023726,-27.396482, -49.834923
42023513,EEB MARIA REGINA DE OLIVEIRA,SC,AGRONOMICA,Estadual,Urbana,47,De 31 a 60 alunos,29,"61,7",0,80% ou mais,Alto,Maior que 50%,"50,8","79,1",20,"0,9",,"524,23","6,9","65,52","27,59",0,0,,"515,17","44,83","17,24","20,69","13,79","3,45",,"462,73","44,83","34,48","17,24","3,45",0,,"552,58","13,79","17,24","62,07","6,9",0,,"495,73","20,69","65,52","13,79",0,0,42023513,-27.266351, -49.712496
42042445,CEDUP PROF JALDYR B F DA SILVA,SC,AGUA DOCE,Estadual,Rural,51,De 31 a 60 alunos,35,"68,63",0,80% ou mais,Médio Alto,Maior que 50%,"53,6","97,3","2,2","0,5","491,55","474,46","25,71","65,71","8,57",0,0,"504,67","465,14",60,"22,86","8,57","8,57",0,"516,31","493,33","34,29","45,71","17,14","2,86",0,"557,21","540,03","8,57","45,71","42,86","2,86",0,"527,03","512,67","11,43",60,"28,57",0,0,42042445,-26.991068, -51.549708
42054575,EEB IRINEU BORNHAUSEN,SC,AGUAS DE CHAPECO,Estadual,Urbana,46,De 31 a 60 alunos,31,"67,39",0,80% ou mais,Médio Alto,Maior que 50%,"54,5","77,4","15,4","7,2","493,4","488,32","25,81","58,06","16,13",0,0,"430,32","430,32","58,06","29,03","9,68","3,23",0,"478,35","473,95","45,16","29,03","25,81",0,0,"551,42","548,08","3,23","58,06","38,71",0,0,"480,09","476,31","38,71","45,16","16,13",0,0,42054575,-27.58233,-48.586331
