Nome_entidade,Cidade,Dependencia_adm,Localizacao,Numero_de_alunos,porte_da_escola,numero_de_participantes_no_enem,taxa_de_participacao,indicador_de_permanencia_na_escola,indicador_nivel_socioeconomico,faixa_indicador_de_formacao_docente,indicador_de_formacao_docente,taxa_de_aprovacao,taxa_de_reprovacao,taxa_de_abandono,Linguagem,Redacao,Matematica,Humanas,Natureza
EEB PROFº FRANCISCO BRASINHA DIAS,BELMONTE,Estadual,Urbana,30,De 1 a 30 alunos,20,"66,67",80% ou mais,Médio,Maior que 50%,"73,6","94,2","4,8",1,"482,74",424,"479,25","517,06","478,37"
IFSC - CAMPUS CHAPECO,CHAPECO,Federal,Urbana,11,De 1 a 30 alunos,11,100,Menos de 20%,Alto,Maior que 50%,95,"87,8","7,6","4,6","580,88","705,45","638,27","641,31","580,16"
EEB JOSE ZANCHETTI,ABDON BATISTA,Estadual,Urbana,26,De 1 a 30 alunos,20,"76,92",80% ou mais,Médio Alto,Até 50%,50,"88,2","5,5","6,3","509,79",486,"482,35","558,26","473,76"
EEM SEMENTE DA CONQUISTA,ABELARDO LUZ,Estadual,Rural,21,De 1 a 30 alunos,12,"57,14",80% ou mais,Médio Baixo,Maior que 50%,"69,4","68,2","25,6","6,2","485,06",490,"441,49",515,"448,08"
EEB PROFº ANACLETO DAMIANI,ABELARDO LUZ,Estadual,Urbana,120,Mais que 90 alunos,66,55,De 60% a 80%,Médio Alto,Maior que 50%,"74,1","67,9","16,6","15,5","494,83","503,64","425,98","516,9","468,63"
EEB PEDRO AMERICO,AGROLANDIA,Estadual,Urbana,85,De 61 a 90 alunos,44,"51,76",80% ou mais,Alto,Até 50%,"44,4",76,"23,1","0,9","505,38","435,45","448,3","536,4","477,18"
EEB SAO JOAO,AGROLANDIA,Estadual,Urbana,19,De 1 a 30 alunos,10,"52,63",80% ou mais,Alto,Até 50%,"46,4","69,3","28,9","1,8","482,09",388,"471,47","519,34","492,6"
EEB MARIA REGINA DE OLIVEIRA,AGRONOMICA,Estadual,Urbana,47,De 31 a 60 alunos,29,"61,7",80% ou mais,Alto,Maior que 50%,"50,8","79,1",20,"0,9","524,23","515,17","462,73","552,58","495,73"
CEDUP PROF JALDYR B F DA SILVA,AGUA DOCE,Estadual,Rural,51,De 31 a 60 alunos,35,"68,63",80% ou mais,Médio Alto,Maior que 50%,"53,6","97,3","2,2","0,5","474,46","465,14","493,33","540,03","512,67"
EEB IRINEU BORNHAUSEN,AGUAS DE CHAPECO,Estadual,Urbana,46,De 31 a 60 alunos,31,"67,39",80% ou mais,Médio Alto,Maior que 50%,"54,5","77,4","15,4","7,2","488,32","430,32","473,95","548,08","476,31"
